job_name,job_def,job_dep
行政人員,"
                                                    依照企業或組織內部的行政流程，處理一般行政業務
                                                ",人文社會學系
行銷企劃人員,"
                                                    蒐集市場資訊，擬定產品或活動行銷企劃案，運用各種行銷工具以達成產品或活動最佳的曝光效果
                                                ",人文社會學系
廣告文案企劃人員,"
                                                    研究產品賣點，運用文字技巧創意、撰寫有關宣傳文案，以達成預期效果
                                                ",人文社會學系
數位行銷人員,"
                                                    將行銷策略數位化，運用數位通路、社群與分析工具，建立線上推廣與宣傳，增新客源機會
                                                ",人文社會學系
勞工健康服務護理人員／廠護,"
                                                    具有護理師或是護士資格，於企業內提供專業的護理服務並執行醫療輔助行為
                                                ",人文社會學系
攝影記者,"
                                                    利用攝影拍攝重要事件之進行狀況，使公眾藉由影像記錄了解當時事件發生之實際情形
                                                ",人文社會學系
文字記者,"
                                                    透過訪問或調查方法蒐集重要事件之訊息並查證之，以撰寫新聞稿件，提供新聞紙、雜誌、廣播或電視臺報導
                                                ",人文社會學系
編劇及詞曲創作,"
                                                    構思與編撰劇本；進行樂曲及歌詞的創作
                                                ",人文社會學系
發行企劃／出版人員,"
                                                    從事各類出版品之編撰、排版、印刷等內部經營管理以及鋪書通路、出版推廣促銷工作
                                                ",人文社會學系
教材編輯人員,"
                                                    彙整蒐集得來的教材資料，進行教材編輯、審核工作
                                                ",人文社會學系
編輯／文字類人員,"
                                                    執行報紙、雜誌、圖書等稿件及素材之選用、審核、編排、修潤、下標、排印等工作
                                                ",人文社會學系
社會學研究人員,"
                                                    研究人類社會之起源、發展、結構、模式及人群關係，提出研究結論，以供各方參考
                                                ",人文社會學系
助理研究人員,"
                                                    負責研究人員和研發人員所交辦的事項，如協助數據分析、實驗記錄等
                                                ",人文社會學系
研究助理,"
                                                    協助研究計畫的進行與流程，並處理與計畫相關的行政工作
                                                ",人文社會學系
講師,"
                                                    凡具有大專院講師的身分，從事大專院校教學、研究與推廣的工作
                                                ",人文社會學系
助教,"
                                                    在大專院校內，協助教授做研究與教學方面的事務，如試卷批閱、學生指導、監考、學生成績紀錄、教材準備等
                                                ",人文社會學系
國小教師,"
                                                    具有小學教師的身分，在各小學裡擔任教師
                                                ",人文社會學系
國中教師,"
                                                    具有中等學校教師身分，擔任各國民中學、普通中學的教師
                                                ",人文社會學系
高中職教師,"
                                                    具有高中職學校教師身分，擔任各高級中學、職業學校、綜合高中的教師
                                                ",人文社會學系
學校行政人員,"
                                                    於學校機關內，負責各行政相關業務
                                                ",人文社會學系
作文老師,"
                                                    規劃寫作教學課程，運用適當教學方法指導學生寫作，對學生的文章進行批改與講評
                                                ",人文社會學系
語文補習班老師,"
                                                    規劃國文、英文及其他外國語文的教學課程，運用適當教學策略與方法，指導學生學習，並評估學習成效
                                                ",人文社會學系
社會工作人員／督導,"
                                                    運用諮商技術、行為治療、團體心理治療等技巧，對社會生活功能有障礙的個人或家庭，提供治療性、矯治性或發展預防性的服務
                                                ",人文社會學系
公家機關相關人員,"
                                                    服務於公家機關內，處理公文傳遞、行政事務、或其他長官交辦事項
                                                ",人文社會學系
