job_name,job_def,job_dep
公關企劃人員,"
                                                    負責組織信息傳播、公關活動的企劃與執行、對外關係協調與維護
                                                ",傳播與科技學系
傳播媒體編輯企劃,"
                                                    蒐集及發掘可製作節目的題材，並企劃節目內容
                                                ",傳播與科技學系
播報人員,"
                                                    在廣播、電視及其他場所從事新聞或廣告播報，人物及節目訪談或介紹等工作
                                                ",傳播與科技學系
攝影記者,"
                                                    利用攝影拍攝重要事件之進行狀況，使公眾藉由影像記錄了解當時事件發生之實際情形
                                                ",傳播與科技學系
文字記者,"
                                                    透過訪問或調查方法蒐集重要事件之訊息並查證之，以撰寫新聞稿件，提供新聞紙、雜誌、廣播或電視臺報導
                                                ",傳播與科技學系
媒體公關人員,"
                                                    公關即是一種溝通，媒體公關則是透過傳撥媒體與社會大眾溝通及行銷；行銷目的在增加產品銷售、提高客戶滿意度，創造產品或是企業的正面形象，從而達成公司最高目標
                                                ",傳播與科技學系
演藝經紀／宣傳人員,"
                                                    為藝人洽談廣告或演出機會，安排行程、檔期，並帶領藝人上通告
                                                ",傳播與科技學系
活動表演／主持人員,"
                                                    主持活動或展覽會場，或利用肢體動作來展現商品，帶動活動氣氛
                                                ",傳播與科技學系
模特兒,"
                                                    於平面媒體、廣告中、展示台上，作肢體姿態之展示、或配合銷售目的展示穿著配件及演出等工作
                                                ",傳播與科技學系
演員,"
                                                    擔任舞台，電影或電視戲劇中之演出角色
                                                ",傳播與科技學系
導演／導播,"
                                                    負責解釋劇情，指導排演及電影之攝製；總指揮電視節目的錄製
                                                ",傳播與科技學系
編劇及詞曲創作,"
                                                    構思與編撰劇本；進行樂曲及歌詞的創作
                                                ",傳播與科技學系
藝術指導／藝術總監,"
                                                    對藝術設計風格進行把關，並對具體設計工作進行指導、監督與管理
                                                ",傳播與科技學系
執行製作／助理,"
                                                    構想節目型態、撰寫腳本、發通告；執行節目相關細節，如道具服裝租借、跑帶剪接等
                                                ",傳播與科技學系
攝影師,"
                                                    操作相機或光學攝影器材，拍攝照片或影片
                                                ",傳播與科技學系
影片製作技術人員,"
                                                    運用畫面剪輯、文字排版、影像處理、混音處理等技術，製作出節目帶
                                                ",傳播與科技學系
剪輯師,"
                                                    將拍攝好的影片進行剪接、編輯、配音，視情況加入動畫、音樂特效
                                                ",傳播與科技學系
配音人員,"
                                                    在廣播、電視、電影中幕後旁白，或協助角色配上聲音
                                                ",傳播與科技學系
字幕人員,"
                                                    節目的旁白或側標，鍵入文稿內容、安排版面、調整段落行距、將資料送審校稿
                                                ",傳播與科技學系
棚內技術工程人員,"
                                                    從事攝影棚內場景舞台搭建、燈光音響工程等工作
                                                ",傳播與科技學系
舞台搭設工程人員,"
                                                    從事舞台規劃、設計工作，以便利及增進演出場面之氣氛
                                                ",傳播與科技學系
燈光技術人員,"
                                                    操作燈具、控制台、節光器、效果片等燈光器材，將燈光設計者的創作精確地執行
                                                ",傳播與科技學系
音響／音控技術人員,"
                                                    應用擴大機、混音器、音效帶、CD片等音響器材、將音效(樂)設計者的創作精確地執行
                                                ",傳播與科技學系
攝影助理,"
                                                    協助攝影師操作相機或光學攝影器材，拍攝照片或影片
                                                ",傳播與科技學系
多媒體動畫設計師,"
                                                    整合文字、圖片、聲音、影像等多項元素，製作動畫、特效等工作
                                                ",傳播與科技學系
