job_name,job_def,job_class,job_dep
營建主管,"
                                                    參與營建工程之規劃、並負責監督、指揮工作團隊、時程與施工等
                                                ",營建規劃,土木工程學系
建築繪圖／設計,"
                                                    根據建築師或設計師之設計圖，繪製施工圖並註明材料規格、位置、尺度及數量等
                                                ",營建規劃,土木工程學系
土地開發人員,"
                                                    尋找買賣、合建或都更案之可開發標的，進行評估與調查，負責土地開發之協調與談判，辦理土地簽約、過戶等
                                                ",營建規劃,土木工程學系
水土保持技師,"
                                                    從事土地開發與保育、治山防洪、崩坍地等有關合理利用土地，防治土壤劣化沖蝕及集水區治理等分析、規劃、設計，水土保持相關工程，如排水規劃設計、集水區經營規劃、土石流災害防治等工作。  
                                                ",營建規劃,土木工程學系
土木技師／工程師,"
                                                    參考施工地點的調查資料，從事各類土木工程的規劃、設計、施工、保養、修繕等
                                                ",營建規劃,土木工程學系
結構技師／工程師,"
                                                    規劃及設計土木及建築工程之結構，並計畫及監督該工程之建造、維護及修繕等
                                                ",營建規劃,土木工程學系
都市／交通規劃人員,"
                                                    從事建築物設計及營造監督，都市發展計畫，公園、道路、風景區、工商業區計畫及交通系統之規劃、監督等工作
                                                ",營建規劃,土木工程學系
水利工程師,"
                                                    規劃及設計水力發電、堰壩供水、防洪灌溉、排水內陸水道等水利工程，並監督該工程之建造、維護及修繕等
                                                ",營建規劃,土木工程學系
水電工程師,"
                                                    負責建築物內水電工程的設計與規劃，如廚衛設備、給/排水配管、電器線路、空調等，並繪製工程圖、指導施工
                                                ",營建規劃,土木工程學系
電信／配線繪圖,"
                                                    依據設計師的指示繪製建築物水電管線配置圖，並正確標註尺寸、規格需求、材質、施工裝卸順序
                                                ",營建規劃,土木工程學系
冷凍空調繪圖／設計,"
                                                    依據設計師的指示繪製冷凍空調設備以及線路安裝的設計圖，並正確標註尺寸、規格需求、材質、施工裝卸順序
                                                ",營建規劃,土木工程學系
水電及其他工程繪圖人員,"
                                                    從事水電設備或其他工程之設計繪圖工作
                                                ",營建規劃,土木工程學系
工地品管員／工程師,"
                                                    擬定工地品管計畫，依照品管標準進行工程進度及施工品質的監督，並辦理品管教育訓練
                                                ",營造施作,土木工程學系
工地安全衛生工程師,"
                                                    負責工地安全衛生作業的規劃、執行、督導及評估等工作，以減少工安意外的發生
                                                ",營造施作,土木工程學系
現場規劃工程師,"
                                                    規劃工程現場的進度安排、成本管控、人力調度、突發狀況處理等
                                                ",營造施作,土木工程學系
工務助理,"
                                                    協助工程師或工務人員進行調度工務行程、表單整理、進度跟催或其他交辦等工作
                                                ",營造施作,土木工程學系
工務工管人員,"
                                                    從事工程進度安排、工地現場監工、工程數量估算、預算編列、單價分析、上下游廠商連絡等事宜
                                                ",營造施作,土木工程學系
工地監工,"
                                                    協助建築師或土木工程師在工地監工，確保工程符合設計規格，及材料與施工保持既定標準
                                                ",營造施作,土木工程學系
營建工程人員,"
                                                    從事建築或土木工程計畫之規劃與執行，並執行品管監造、現場進度及勞工安全衛生等工程管理工作
                                                ",營造施作,土木工程學系
測量／儀校人員,"
                                                    接受測量師、土木工程師或建築師之指導，從事各種測量實務及協助編製測量報告
                                                ",營造施作,土木工程學系
模板工程人員,"
                                                    從事加工、組合安裝及拆除混凝土灌注所用之模板及支架等工作
                                                ",營造施作,土木工程學系
水電工,"
                                                    對於建築物之給水及排水系統等輸送管路，或低壓配電線路進行裝配、維護及修理
                                                ",營造施作,土木工程學系
