job_name,job_def,job_dep
行政人員,"
                                                    依照企業或組織內部的行政流程，處理一般行政業務
                                                ",土木工程學系
祕書,"
                                                    確認主管行程、會議安排及記錄，協助主管資料搜尋並處理文書類工作
                                                ",土木工程學系
行銷企劃人員,"
                                                    蒐集市場資訊，擬定產品或活動行銷企劃案，運用各種行銷工具以達成產品或活動最佳的曝光效果
                                                ",土木工程學系
廣告文案企劃人員,"
                                                    研究產品賣點，運用文字技巧創意、撰寫有關宣傳文案，以達成預期效果
                                                ",土木工程學系
數位行銷人員,"
                                                    將行銷策略數位化，運用數位通路、社群與分析工具，建立線上推廣與宣傳，增新客源機會
                                                ",土木工程學系
教材編輯人員,"
                                                    彙整蒐集得來的教材資料，進行教材編輯、審核工作
                                                ",土木工程學系
編輯／文字類人員,"
                                                    執行報紙、雜誌、圖書等稿件及素材之選用、審核、編排、修潤、下標、排印等工作
                                                ",土木工程學系
技術文件／說明書編譯,"
                                                    負責翻譯、編寫專業的技術文件或說明書
                                                ",土木工程學系
校對人員,"
                                                    將打樣與原稿核對，校正錯字、標點及通順情形，並於錯誤處用符號加以標明更正
                                                ",土木工程學系
英文翻譯／口譯人員,"
                                                    精通英文與中文兩種語言，將一種語言的文字內容轉寫成為另一種文字，或現場就所討論主題之術語進行口頭翻譯
                                                ",土木工程學系
日文翻譯／口譯人員,"
                                                    專精日文與中文兩種語言，將一種語言的文字內容轉寫成為另一種文字，或現場就所討論主題之術語進行口頭翻譯
                                                ",土木工程學系
其他語言翻譯／口譯人員,"
                                                    精通其他國家語言與中文，將一種語言的文字內容轉寫成為另一種文字，或現場就所討論主題之術語進行口頭翻譯
                                                ",土木工程學系
其他研究人員,"
                                                    未歸類在其他社會學、人類學、哲學、歷史學及政治學等的研究人員，負責其他各領域的研究、執行與技術改良
                                                ",土木工程學系
助理研究人員,"
                                                    負責研究人員和研發人員所交辦的事項，如協助數據分析、實驗記錄等
                                                ",土木工程學系
研究助理,"
                                                    協助研究計畫的進行與流程，並處理與計畫相關的行政工作
                                                ",土木工程學系
講師,"
                                                    凡具有大專院講師的身分，從事大專院校教學、研究與推廣的工作
                                                ",土木工程學系
助教,"
                                                    在大專院校內，協助教授做研究與教學方面的事務，如試卷批閱、學生指導、監考、學生成績紀錄、教材準備等
                                                ",土木工程學系
國小教師,"
                                                    具有小學教師的身分，在各小學裡擔任教師
                                                ",土木工程學系
國中教師,"
                                                    具有中等學校教師身分，擔任各國民中學、普通中學的教師
                                                ",土木工程學系
高中職教師,"
                                                    具有高中職學校教師身分，擔任各高級中學、職業學校、綜合高中的教師
                                                ",土木工程學系
學校行政人員,"
                                                    於學校機關內，負責各行政相關業務
                                                ",土木工程學系
語文補習班老師,"
                                                    規劃國文、英文及其他外國語文的教學課程，運用適當教學策略與方法，指導學生學習，並評估學習成效
                                                ",土木工程學系
升學補習班老師,"
                                                    針對升學考試科目編寫教材並教導學生學習，評鑑其學習成果，並解決學生的疑惑
                                                ",土木工程學系
公家機關相關人員,"
                                                    服務於公家機關內，處理公文傳遞、行政事務、或其他長官交辦事項
                                                ",土木工程學系
