job_name,job_def,job_dep
食品衛生管理師,"
                                                    控管食品從原料到完成品整個流程的安全衛生管理
                                                ",應用化學系
食品檢驗人員,"
                                                    進行食品成份檢驗、分析及鑑定檢驗報告，並提供相關意見
                                                ",應用化學系
檢驗人員,"
                                                    對出貨成品進行檢驗以避免與規格不符
                                                ",應用化學系
其它醫療從業人員,"
                                                    從事醫療相關企劃、分析報表及製作結果報告，協助醫師處理醫療相關事務
                                                ",應用化學系
醫院行政管理人員,"
                                                    負責處理醫院中相關行政事務進行各項作業之管理與協調的管理人員
                                                ",應用化學系
生技主管,"
                                                    管理、協調生化科技團隊，並負責規劃與執行生技相關活動
                                                ",應用化學系
醫藥研發人員,"
                                                    研發製藥科技，對醫藥的特性、療效、保存進行研究，並發展新藥、製劑、血清疫苗、診斷用藥等的醫藥相關物品
                                                ",應用化學系
病理藥理研究人員,"
                                                    進行病理、藥理領域的研究，且進行相關實驗，並將成果應用在醫藥、保健、農業、工業等方面
                                                ",應用化學系
生物科技研發人員,"
                                                    研究動植物的品種、基因等成分之分離、精製、分析及檢驗，並發展其在生物、醫學、農業等實際應用領域
                                                ",應用化學系
化學／化工工程師,"
                                                    分為製程與研發兩大部分，「製程」是指探討各種產品的製造流程，並進行參數的調校，及流程缺陷改善；「研發」則是進行材料的合成、配方研發
                                                ",應用化學系
奈米研發工程師,"
                                                    從事奈米材料科技的研究、開發、設計、驗證等工作
                                                ",應用化學系
特用化學工程師,"
                                                    應用化學技術進行特用化學品製造研發，並規劃特用化學製品的生產流程、製造設備的設計與改善
                                                ",應用化學系
生物學專業與研究人員,"
                                                    廣泛研究生命的各種面向，藉以增進科學知識，並發展醫藥與農業等領域的學術與實際應用
                                                ",應用化學系
化學相關研究人員,"
                                                    從事一般化學研究、檢驗及分析，藉以瞭解化學現象，測試、研製、改良材料及產品，並發展與改善化學分析方法及技術
                                                ",應用化學系
其他研究人員,"
                                                    未歸類在其他社會學、人類學、哲學、歷史學及政治學等的研究人員，負責其他各領域的研究、執行與技術改良
                                                ",應用化學系
助理研究人員,"
                                                    負責研究人員和研發人員所交辦的事項，如協助數據分析、實驗記錄等
                                                ",應用化學系
研究助理,"
                                                    協助研究計畫的進行與流程，並處理與計畫相關的行政工作
                                                ",應用化學系
教授／副教授／助理教授,"
                                                    凡具有大專院校教授、副教授、助理教授的身分，從事大專院校教學、研究與推廣的工作
                                                ",應用化學系
講師,"
                                                    凡具有大專院講師的身分，從事大專院校教學、研究與推廣的工作
                                                ",應用化學系
助教,"
                                                    在大專院校內，協助教授做研究與教學方面的事務，如試卷批閱、學生指導、監考、學生成績紀錄、教材準備等
                                                ",應用化學系
學校行政人員,"
                                                    於學校機關內，負責各行政相關業務
                                                ",應用化學系
公家機關相關人員,"
                                                    服務於公家機關內，處理公文傳遞、行政事務、或其他長官交辦事項
                                                ",應用化學系
