job_name,job_def,job_dep
儲備幹部,"
                                                    接受公司培訓並執行各項工作任務，準備未來擔任管理職
                                                ",應用數學系
總務人員,"
                                                    處理總務行政庶務，辦公設備修護及公司資源的維護管理，作好各項後勤支援
                                                ",應用數學系
金融研究人員,"
                                                    透過資料蒐集與分析，撰寫產業研究、盤勢分析等報告，提供企業投資決策考量
                                                ",應用數學系
金融營業人員,"
                                                    從事有價證券受託買賣，如股票交易、期貨及選擇權等相關金融商品
                                                ",應用數學系
銀行辦事人員,"
                                                    在銀行內從事替客戶開戶、存款、放款、匯兌、推廣金融商品等服務
                                                ",應用數學系
投資理財人員,"
                                                    運用專業理財知識提供客戶理財規劃的建議及操作
                                                ",應用數學系
統計精算人員,"
                                                    應用數學、統計及財務分析之知識，從事設計退休金計畫與各種保險制度
                                                ",應用數學系
理賠人員,"
                                                    從事理賠案件之調查與審理，並協助客戶辦理各種保險理賠手續
                                                ",應用數學系
核保／保險內勤人員,"
                                                    審核保險案件的危險分級與核定保費率、處理保險業務相關的後勤工作
                                                ",應用數學系
財務人員,"
                                                    執行各項與資金有關之財務作業
                                                ",應用數學系
財務／會計助理,"
                                                    協助部門主管辦理會計及財務處理的行政事務
                                                ",應用數學系
查帳／審計人員,"
                                                    審查核定財務收支狀況並提供審計和會計相關諮詢
                                                ",應用數學系
市場調查／分析人員,"
                                                    從事市場訊息調查與分析，或執行各類調查研究專案，製作圖表資料與建議報告
                                                ",應用數學系
資訊助理人員,"
                                                    協助資訊專業人員進行電腦軟體的開發、測試、管理及維護
                                                ",應用數學系
數學研究人員,"
                                                    從事基礎數學的研究，並發展及改善數學技術及相關應用
                                                ",應用數學系
統計學研究人員,"
                                                    負責統計科學的研究與調查，並發展、改善統計方法 ，及對實際統計資料進行整合和解釋
                                                ",應用數學系
其他研究人員,"
                                                    未歸類在其他社會學、人類學、哲學、歷史學及政治學等的研究人員，負責其他各領域的研究、執行與技術改良
                                                ",應用數學系
助理研究人員,"
                                                    負責研究人員和研發人員所交辦的事項，如協助數據分析、實驗記錄等
                                                ",應用數學系
研究助理,"
                                                    協助研究計畫的進行與流程，並處理與計畫相關的行政工作
                                                ",應用數學系
教授／副教授／助理教授,"
                                                    凡具有大專院校教授、副教授、助理教授的身分，從事大專院校教學、研究與推廣的工作
                                                ",應用數學系
講師,"
                                                    凡具有大專院講師的身分，從事大專院校教學、研究與推廣的工作
                                                ",應用數學系
助教,"
                                                    在大專院校內，協助教授做研究與教學方面的事務，如試卷批閱、學生指導、監考、學生成績紀錄、教材準備等
                                                ",應用數學系
國小教師,"
                                                    具有小學教師的身分，在各小學裡擔任教師
                                                ",應用數學系
國中教師,"
                                                    具有中等學校教師身分，擔任各國民中學、普通中學的教師
                                                ",應用數學系
高中職教師,"
                                                    具有高中職學校教師身分，擔任各高級中學、職業學校、綜合高中的教師
                                                ",應用數學系
學校行政人員,"
                                                    於學校機關內，負責各行政相關業務
                                                ",應用數學系
公家機關相關人員,"
                                                    服務於公家機關內，處理公文傳遞、行政事務、或其他長官交辦事項
                                                ",應用數學系
