job_name,job_def,job_class,job_dep
半導體製程工程師,"
                                                    負責半導體製造過程及機台設定、分析問題並處理異常，保持製程產品良率及穩定度之控制
                                                ",光電半導體,材料科學與工程學系
光電製程工程師,"
                                                    安排光電生產設備佈置及流程、決定生產裝配方法、計算生產能量、平衡生產線以達最適製造方式
                                                ",光電半導體,材料科學與工程學系
製程主管,"
                                                    負責生產製程的改善，設備的規劃、管理
                                                ",生產製程,材料科學與工程學系
設備工程主管,"
                                                    管理生產設備的保養和製程的順序，並解決設備相關問題
                                                ",生產製程,材料科學與工程學系
生產技術／製程工程師,"
                                                    依使用之生產方法、材料與設備，訂定適當之生產作業順序及時間控制
                                                ",生產製程,材料科學與工程學系
工業工程師,"
                                                    規劃生產作業程序中的人員、物料、設備、製程、時間等，並能提升效率與管控安全
                                                ",生產製程,材料科學與工程學系
紡織工務,"
                                                    紡織纖維之準備，使用各種材料機製成衣並控管品質
                                                ",生產製程,材料科學與工程學系
廠務／助理,"
                                                    進行工廠機械設備、工作環境維護等的基本庶務
                                                ",生產製程,材料科學與工程學系
生管／助理,"
                                                    根據生產計畫、生產能力，協助生產進度及進度跟催
                                                ",生產製程,材料科學與工程學系
PLC／自動控制工程師,"
                                                    研究設計有關電機或訊號處理之控制系統，並運用程式邏輯控制器，以滿足工業自動化領域控制系統的需求
                                                ",生產製程,材料科學與工程學系
EMC／安規工程人員,"
                                                    電磁相容EMC(Electro Magnetic Compatibility)相關產品開發、進行新產品的安全規範測試，以避免設計不良或使用不當，確保產品安全，其產品安規認證相關作業
                                                ",品管品保,材料科學與工程學系
可靠度工程師,"
                                                    從事產品研發前的品質規劃、研發後的可靠度測試與改善
                                                ",品管品保,材料科學與工程學系
品保工程師,"
                                                    使用精密儀器或管理技術設定、檢驗、改善產品品質以達品質保証
                                                ",品管品保,材料科學與工程學系
測試工程師,"
                                                    針對生產流程中，各階段的產品性能進行測試，找出設計上的錯誤或問題予以改正解決
                                                ",品管品保,材料科學與工程學系
品管人員,"
                                                    根據品質管制標準規格，檢查產品是否符合品質要求
                                                ",品管品保,材料科學與工程學系
ISO品保人員,"
                                                    規劃建立並維護ISO品質系統，並依據ISO規定檢測產品、服務流程以及處理相關認證作業
                                                ",品管品保,材料科學與工程學系
食品檢驗人員,"
                                                    進行食品成份檢驗、分析及鑑定檢驗報告，並提供相關意見
                                                ",品管品保,材料科學與工程學系
檢驗人員,"
                                                    對出貨成品進行檢驗以避免與規格不符
                                                ",品管品保,材料科學與工程學系
化學／化工工程師,"
                                                    分為製程與研發兩大部分，「製程」是指探討各種產品的製造流程，並進行參數的調校，及流程缺陷改善；「研發」則是進行材料的合成、配方研發
                                                ",化工實驗,材料科學與工程學系
奈米研發工程師,"
                                                    從事奈米材料科技的研究、開發、設計、驗證等工作
                                                ",化工實驗,材料科學與工程學系
特用化學工程師,"
                                                    應用化學技術進行特用化學品製造研發，並規劃特用化學製品的生產流程、製造設備的設計與改善
                                                ",化工實驗,材料科學與工程學系
紡織化學工程師,"
                                                    運用化學技術調配染料、研發新布料之材質、並協助製造加工的作業流程
                                                ",化工實驗,材料科學與工程學系
材料研發人員,"
                                                    依據需求進行材料的研發、實驗、生產、改善與應用工作
                                                ",化工實驗,材料科學與工程學系
實驗／化驗人員,"
                                                    從事科學的實驗、操作化驗儀器進行化學成分的研究、分析與檢驗
                                                ",化工實驗,材料科學與工程學系
其他研究人員,"
                                                    未歸類在其他社會學、人類學、哲學、歷史學及政治學等的研究人員，負責其他各領域的研究、執行與技術改良
                                                ",研究協助,材料科學與工程學系
助理研究人員,"
                                                    負責研究人員和研發人員所交辦的事項，如協助數據分析、實驗記錄等
                                                ",研究協助,材料科學與工程學系
