job_name,job_def,job_dep
客服工程師／FAE,"
                                                    處理客戶端產品技術問題，並提供產品技術諮詢(Field Application Engineer)
                                                ",機械工程學系
軟／韌體測試人員,"
                                                    測試新開發之軟、韌體並撰寫測試報告，找出設計上的錯誤或問題予以修正
                                                ",機械工程學系
CIM工程師,"
                                                    利用電腦軟體掌握製程到產品出貨且將生產資訊整合（CIM／Computer Integrated Manufacture）
                                                ",機械工程學系
MES工程師,"
                                                    生產製造系統的規劃、監控及維護（MES／Manufacturing Execution System）
                                                ",機械工程學系
網站技術主管,"
                                                    搜集軟硬體技術之最新資訊，分析運用擴散到各部門，並提供網站的規劃、監督製程指導
                                                ",機械工程學系
電子工程主管,"
                                                    負責電子電路相關的工程規劃、主導、協調專案的管理者
                                                ",機械工程學系
電子工程師,"
                                                    負責電子電路的系統設計整合、軟硬體開發、無線通訊產品測試與應用
                                                ",機械工程學系
電源工程師,"
                                                    負責電源、變壓器、電池充電、控制電路的規格設計、製造與測試
                                                ",機械工程學系
零組件工程師,"
                                                    研讀IC零件的技術，負責產品中有關零組件的選擇使用、資材管理、市場推廣
                                                ",機械工程學系
SMT工程師,"
                                                    專職表面黏著技術SMT( Surface Mount Technology)的流程，從備料、上架、到設備設定、操作、維修等
                                                ",機械工程學系
PCB-Layout佈局工程師,"
                                                    從事印刷電路板線路佈局之設計發展、問題研究、技術指導等工作（PCB／Printed circuit board）
                                                ",機械工程學系
電子／通訊工程助理,"
                                                    具相關科系背景，協助工程師完成通訊與光電工程方面的工作
                                                ",機械工程學系
半導體工程師,"
                                                    研究半導體元件，從事設計、製作、測試、改良等工作
                                                ",機械工程學系
半導體設備工程師,"
                                                    負責半導體設備調校操作維護，提升設備良率、維護穩定運作
                                                ",機械工程學系
光電製程工程師,"
                                                    安排光電生產設備佈置及流程、決定生產裝配方法、計算生產能量、平衡生產線以達最適製造方式
                                                ",機械工程學系
光電設備工程師,"
                                                    維持光電設備機台穩定性、讓機器運轉順暢，以及改善機台、增進生產效能設計
                                                ",機械工程學系
光電／半導體工程助理,"
                                                    協助半導體／電子工程師或主管，進行客訴問題分析或生產技術支援
                                                ",機械工程學系
機械工程主管,"
                                                    從事企業或組織內部的研究發展業務之規劃、協調、指導、管制及考核的管理工作
                                                ",機械工程學系
汽車研發人員,"
                                                    針對市場或功能的需求、進行車體、引擎、結構等相關的研發，並跟生產部進行溝通協調
                                                ",機械工程學系
電機工程主管,"
                                                    統籌規劃、指揮及協調電機儀器設備方面的工程人才，如電控設備、自動控制與自動化系統等
                                                ",機械工程學系
電機技師／工程師,"
                                                    接受有關電機工程師之指導，從事電機系統與設備之設計、發展、施工、裝設、測試、操作、檢驗與維修等工作
                                                ",機械工程學系
電機維修人員,"
                                                    進行電機器具及設備的裝設、測試與維修
                                                ",機械工程學系
機電技師／工程師,"
                                                    設計規劃有關電機與機械系統間整合及能量轉換，進行機電系統設備間的測試、安裝、穩定度控制、故障分析、維修等工作
                                                ",機械工程學系
微機電工程師,"
                                                    利用精密微影技術將機械元件、感測器、制動器及積體電路整合在一個矽晶片，進行元件或產品的研發、設計、測試、維護等工作
                                                ",機械工程學系
機構工程師,"
                                                    運用人因工程，負責新產品機構設計與結構評估、材料選用、繪製圖面，並進行生產裝備的開發、測試並檢修
                                                ",機械工程學系
機械工程師,"
                                                    進行機械產品、機械廠房與設備的設計、技術指導、維修、研究、操作等工作
                                                ",機械工程學系
熱傳工程師,"
                                                    研究設計各種能源變換為熱能、熱能利用、散熱設計及熱能傳送等應用，負責熱能處理有關設備之製造、裝置、操作、維護及保養等作業
                                                ",機械工程學系
聲學／噪音工程師,"
                                                    從事產品聲學或噪音方面之研發、裝設、驗證等工作；或有關於噪音防制之規劃與設計
                                                ",機械工程學系
其他特殊工程人員,"
                                                    從事其他特殊領域工程機械之專業技術人員
                                                ",機械工程學系
機械設計／繪圖人員,"
                                                    機械設備、產品零組件結構，各部分尺度的設計與繪圖
                                                ",機械工程學系
工程助理,"
                                                    協助工程師或研發人員完成工程機械領域的工作或專案
                                                ",機械工程學系
EMC／安規工程人員,"
                                                    電磁相容EMC(Electro Magnetic Compatibility)相關產品開發、進行新產品的安全規範測試，以避免設計不良或使用不當，確保產品安全，其產品安規認證相關作業
                                                ",機械工程學系
可靠度工程師,"
                                                    從事產品研發前的品質規劃、研發後的可靠度測試與改善
                                                ",機械工程學系
品保工程師,"
                                                    使用精密儀器或管理技術設定、檢驗、改善產品品質以達品質保証
                                                ",機械工程學系
測試工程師,"
                                                    針對生產流程中，各階段的產品性能進行測試，找出設計上的錯誤或問題予以改正解決
                                                ",機械工程學系
故障分析工程師,"
                                                    從事產品、設備故障的原因分析並予以改良
                                                ",機械工程學系
公家機關相關人員,"
                                                    服務於公家機關內，處理公文傳遞、行政事務、或其他長官交辦事項
                                                ",機械工程學系
