job_name,job_def,job_class,job_dep
基層管理幹部,"
                                                    負責上下級資訊的傳承，管理監督基層員工並給予協助指導
                                                ",管理幕僚,管理科學系
儲備幹部,"
                                                    接受公司培訓並執行各項工作任務，準備未來擔任管理職
                                                ",管理幕僚,管理科學系
教育訓練人員,"
                                                    規劃員工教育訓練課程及執行，並且評估員工學習成效
                                                ",人力資源,管理科學系
行政人員,"
                                                    依照企業或組織內部的行政流程，處理一般行政業務
                                                ",行政後勤／總務,管理科學系
金融研究人員,"
                                                    透過資料蒐集與分析，撰寫產業研究、盤勢分析等報告，提供企業投資決策考量
                                                ",金融保險,管理科學系
金融營業人員,"
                                                    從事有價證券受託買賣，如股票交易、期貨及選擇權等相關金融商品
                                                ",金融保險,管理科學系
銀行辦事人員,"
                                                    在銀行內從事替客戶開戶、存款、放款、匯兌、推廣金融商品等服務
                                                ",金融保險,管理科學系
投資理財人員,"
                                                    運用專業理財知識提供客戶理財規劃的建議及操作
                                                ",金融保險,管理科學系
查帳／審計人員,"
                                                    審查核定財務收支狀況並提供審計和會計相關諮詢
                                                ",稽核審計,管理科學系
國貿人員,"
                                                    處理國際貿易事務，如進出口作業、市場開發、接單、訂單、報關、參展等工作
                                                ",國際貿易,管理科學系
國貿助理,"
                                                    協助國際貿易業務專員的行政事務工作
                                                ",國際貿易,管理科學系
行銷企劃人員,"
                                                    蒐集市場資訊，擬定產品或活動行銷企劃案，運用各種行銷工具以達成產品或活動最佳的曝光效果
                                                ",行銷／廣告,管理科學系
數位行銷人員,"
                                                    將行銷策略數位化，運用數位通路、社群與分析工具，建立線上推廣與宣傳，增新客源機會
                                                ",行銷／廣告,管理科學系
公家機關相關人員,"
                                                    服務於公家機關內，處理公文傳遞、行政事務、或其他長官交辦事項
                                                ",軍警消防,管理科學系
