job_name,job_def,job_class,job_dep
軟體相關管理師,"
                                                    從事軟體設計及規劃，並掌握軟體開發流程(SDLC)，以及負責溝通協調等專案管理工作。
                                                ",專案管理,資訊工程學系
軟體工程師,"
                                                    從事電腦軟體的程式設計、修改、安裝及維護
                                                ",軟體工程,資訊工程學系
通訊軟體工程師,"
                                                    開發、設計與測試網路通信軟體或專業化實用程式
                                                ",軟體工程,資訊工程學系
韌體工程師,"
                                                    撰寫各種韌體程式，並檢測及改善韌體的相關問題
                                                ",軟體工程,資訊工程學系
軟／韌體測試人員,"
                                                    測試新開發之軟、韌體並撰寫測試報告，找出設計上的錯誤或問題予以修正
                                                ",軟體工程,資訊工程學系
演算法開發工程師,"
                                                    演算法的研究、分析、檢測並設計或修改相關軟體
                                                ",軟體工程,資訊工程學系
BIOS工程師,"
                                                    從事主機板BIOS的撰寫、修改及維護（BIOS／Basic Input/Output System）
                                                ",軟體工程,資訊工程學系
CIM工程師,"
                                                    利用電腦軟體掌握製程到產品出貨且將生產資訊整合（CIM／Computer Integrated Manufacture）
                                                ",軟體工程,資訊工程學系
MES工程師,"
                                                    生產製造系統的規劃、監控及維護（MES／Manufacturing Execution System）
                                                ",軟體工程,資訊工程學系
網站技術主管,"
                                                    搜集軟硬體技術之最新資訊，分析運用擴散到各部門，並提供網站的規劃、監督製程指導
                                                ",軟體工程,資訊工程學系
電玩程式設計師,"
                                                    依照遊戲訂定的規範，從事電腦軟體程式的設計、測試、偵錯等工作
                                                ",軟體工程,資訊工程學系
網站程式設計師,"
                                                    從事網際網路系統軟硬體與程式語言的製作、測試及安裝
                                                ",軟體工程,資訊工程學系
APP工程師,"
                                                    依照專案需求與團隊開發APP軟體，測試並維護負責APP評估、設計、規劃優化設計
                                                ",軟體工程,資訊工程學系
系統工程師,"
                                                    依據系統分析結果，功能規格所訂之內容，從事資訊系統架構之設計，以確定系統之型態及作業方式
                                                ",系統規劃,資訊工程學系
系統分析師,"
                                                    系統分析員（System Analyst，簡稱SA，又稱系統分析師）。屬於軟體開發團隊內較為中高階的基層管理者。系統分析師必須具備基礎的軟體開發與質量控制的相關知識素養，並須熟練掌握軟體開發流程(SDLC)，運用於軟體開發的基礎工作。就性格特質而言，具有良好分析能力、組織能力與邏輯思辨能力者，較適合勝任系統分析師的工作使命
                                                ",系統規劃,資訊工程學系
電信／通訊系統工程師,"
                                                    從事電信、通訊系統與線路工程之規劃、設計、監督其施工、運作、及維修，以及相關器材機具開發引進等
                                                ",電子通訊,資訊工程學系
RF通訊工程師,"
                                                    負責RF程式的研發和評估、射頻電路和電路板佈局設計，並把雜訊影響減至最低（RF／Radio Frequency）
                                                ",電子通訊,資訊工程學系
電子工程師,"
                                                    負責電子電路的系統設計整合、軟硬體開發、無線通訊產品測試與應用
                                                ",電子通訊,資訊工程學系
電源工程師,"
                                                    負責電源、變壓器、電池充電、控制電路的規格設計、製造與測試
                                                ",電子通訊,資訊工程學系
零組件工程師,"
                                                    研讀IC零件的技術，負責產品中有關零組件的選擇使用、資材管理、市場推廣
                                                ",電子通訊,資訊工程學系
SMT工程師,"
                                                    專職表面黏著技術SMT( Surface Mount Technology)的流程，從備料、上架、到設備設定、操作、維修等
                                                ",電子通訊,資訊工程學系
PCB-Layout佈局工程師,"
                                                    從事印刷電路板線路佈局之設計發展、問題研究、技術指導等工作（PCB／Printed circuit board）
                                                ",電子通訊,資訊工程學系
電子／通訊工程助理,"
                                                    具相關科系背景，協助工程師完成通訊與光電工程方面的工作
                                                ",電子通訊,資訊工程學系
