job_name,job_def,job_class,job_dep
行政人員,"
                                                    依照企業或組織內部的行政流程，處理一般行政業務
                                                ",行政後勤／總務,運輸與物流管理學系
行政助理,"
                                                    協助主管及專業人員從事一般行政業務
                                                ",行政後勤／總務,運輸與物流管理學系
國貿人員,"
                                                    處理國際貿易事務，如進出口作業、市場開發、接單、訂單、報關、參展等工作
                                                ",國際貿易,運輸與物流管理學系
國貿助理,"
                                                    協助國際貿易業務專員的行政事務工作
                                                ",國際貿易,運輸與物流管理學系
船務,"
                                                    安排船期、洽訂船位、核對出貨文件、並協助客戶準備報關文件執行報關程序
                                                ",國際貿易,運輸與物流管理學系
國外業務人員,"
                                                    從事商品或服務的國外銷售、業務推廣等工作
                                                ",業務推廣,運輸與物流管理學系
資材人員,"
                                                    管理物料採購、加工、倉儲、運輸和分配，並處理閒置廢料以提高週轉率
                                                ",採購資材,運輸與物流管理學系
倉管／物料管理員,"
                                                    管控庫存物料以及管理收貨、儲藏，配合生產、發貨進度，協助規劃跨部門間的物料流通並記錄庫存異動
                                                ",採購資材,運輸與物流管理學系
採購助理,"
                                                    協助主管執行採購作業、跟催流程及製作相關表單
                                                ",採購資材,運輸與物流管理學系
運輸物流類主管,"
                                                    負責管理商品的供應、運輸及配送等營運活動
                                                ",運輸物流,運輸與物流管理學系
船上作業人員,"
                                                    各種船舶相關機械設備的操作與維修
                                                ",運輸物流,運輸與物流管理學系
倉儲物流人員,"
                                                    負責倉儲相關進出貨、盤點、補貨等物流管理作業
                                                ",運輸物流,運輸與物流管理學系
運輸調度管理人員,"
                                                    依據行車需要，規劃調度交通運輸工具的班次時間、人員
                                                ",運輸物流,運輸與物流管理學系
空服人員,"
                                                    飛航期間在飛機內提供旅客餐點、販賣免稅商品等的服務，與協助旅客安全工作
                                                ",運輸物流,運輸與物流管理學系
地勤人員,"
                                                    於機場內提供旅客諮詢、購買機票等服務、並協助旅客登機的相關作業
                                                ",運輸物流,運輸與物流管理學系
外務／快遞／送貨,"
                                                    負責貨物的配送、裝卸及貨款回收
                                                ",運輸物流,運輸與物流管理學系
