job_name,job_def,job_dep
電信／通訊系統工程師,"
                                                    從事電信、通訊系統與線路工程之規劃、設計、監督其施工、運作、及維修，以及相關器材機具開發引進等
                                                ",電子物理學系
電子工程主管,"
                                                    負責電子電路相關的工程規劃、主導、協調專案的管理者
                                                ",電子物理學系
電子工程師,"
                                                    負責電子電路的系統設計整合、軟硬體開發、無線通訊產品測試與應用
                                                ",電子物理學系
電源工程師,"
                                                    負責電源、變壓器、電池充電、控制電路的規格設計、製造與測試
                                                ",電子物理學系
零組件工程師,"
                                                    研讀IC零件的技術，負責產品中有關零組件的選擇使用、資材管理、市場推廣
                                                ",電子物理學系
電子／通訊工程助理,"
                                                    具相關科系背景，協助工程師完成通訊與光電工程方面的工作
                                                ",電子物理學系
其它醫療從業人員,"
                                                    從事醫療相關企劃、分析報表及製作結果報告，協助醫師處理醫療相關事務
                                                ",電子物理學系
醫院行政管理人員,"
                                                    負責處理醫院中相關行政事務進行各項作業之管理與協調的管理人員
                                                ",電子物理學系
氣象相關研究人員,"
                                                    研究地球大氣層的理化性質及其動態變化，藉以發展天氣預報及從事航空、航海、農業等領域實際應用
                                                ",電子物理學系
地質與地球科學研究人員,"
                                                    探討研究地殼組成、測量影響地球變動的地震、火山等變化，並發展在規劃堰壩、橋樑、隧道及大型建築實際應用
                                                ",電子物理學系
天文相關研究人員,"
                                                    天體現象觀測方法和觀測手段的相關研究，並以發展航空及太空探測等實際應用
                                                ",電子物理學系
應用科學研究人員,"
                                                    進行將自然科學的知識應用到實際問題的研究與實驗
                                                ",電子物理學系
其他研究人員,"
                                                    未歸類在其他社會學、人類學、哲學、歷史學及政治學等的研究人員，負責其他各領域的研究、執行與技術改良
                                                ",電子物理學系
助理研究人員,"
                                                    負責研究人員和研發人員所交辦的事項，如協助數據分析、實驗記錄等
                                                ",電子物理學系
研究助理,"
                                                    協助研究計畫的進行與流程，並處理與計畫相關的行政工作
                                                ",電子物理學系
教授／副教授／助理教授,"
                                                    凡具有大專院校教授、副教授、助理教授的身分，從事大專院校教學、研究與推廣的工作
                                                ",電子物理學系
講師,"
                                                    凡具有大專院講師的身分，從事大專院校教學、研究與推廣的工作
                                                ",電子物理學系
助教,"
                                                    在大專院校內，協助教授做研究與教學方面的事務，如試卷批閱、學生指導、監考、學生成績紀錄、教材準備等
                                                ",電子物理學系
國小教師,"
                                                    具有小學教師的身分，在各小學裡擔任教師
                                                ",電子物理學系
國中教師,"
                                                    具有中等學校教師身分，擔任各國民中學、普通中學的教師
                                                ",電子物理學系
高中職教師,"
                                                    具有高中職學校教師身分，擔任各高級中學、職業學校、綜合高中的教師
                                                ",電子物理學系
學校行政人員,"
                                                    於學校機關內，負責各行政相關業務
                                                ",電子物理學系
公家機關相關人員,"
                                                    服務於公家機關內，處理公文傳遞、行政事務、或其他長官交辦事項
                                                ",電子物理學系
