job_name,job_def,job_dep
客服工程師／FAE,"
                                                    處理客戶端產品技術問題，並提供產品技術諮詢(Field Application Engineer)
                                                ",電機工程學系
軟體相關管理師,"
                                                    從事軟體設計及規劃，並掌握軟體開發流程(SDLC)，以及負責溝通協調等專案管理工作。
                                                ",電機工程學系
軟體工程師,"
                                                    從事電腦軟體的程式設計、修改、安裝及維護
                                                ",電機工程學系
通訊軟體工程師,"
                                                    開發、設計與測試網路通信軟體或專業化實用程式
                                                ",電機工程學系
韌體工程師,"
                                                    撰寫各種韌體程式，並檢測及改善韌體的相關問題
                                                ",電機工程學系
軟／韌體測試人員,"
                                                    測試新開發之軟、韌體並撰寫測試報告，找出設計上的錯誤或問題予以修正
                                                ",電機工程學系
演算法開發工程師,"
                                                    演算法的研究、分析、檢測並設計或修改相關軟體
                                                ",電機工程學系
BIOS工程師,"
                                                    從事主機板BIOS的撰寫、修改及維護（BIOS／Basic Input/Output System）
                                                ",電機工程學系
CIM工程師,"
                                                    利用電腦軟體掌握製程到產品出貨且將生產資訊整合（CIM／Computer Integrated Manufacture）
                                                ",電機工程學系
APP工程師,"
                                                    依照專案需求與團隊開發APP軟體，測試並維護負責APP評估、設計、規劃優化設計
                                                ",電機工程學系
電信／通訊系統工程師,"
                                                    從事電信、通訊系統與線路工程之規劃、設計、監督其施工、運作、及維修，以及相關器材機具開發引進等
                                                ",電機工程學系
RF通訊工程師,"
                                                    負責RF程式的研發和評估、射頻電路和電路板佈局設計，並把雜訊影響減至最低（RF／Radio Frequency）
                                                ",電機工程學系
電子工程主管,"
                                                    負責電子電路相關的工程規劃、主導、協調專案的管理者
                                                ",電機工程學系
電子工程師,"
                                                    負責電子電路的系統設計整合、軟硬體開發、無線通訊產品測試與應用
                                                ",電機工程學系
電源工程師,"
                                                    負責電源、變壓器、電池充電、控制電路的規格設計、製造與測試
                                                ",電機工程學系
零組件工程師,"
                                                    研讀IC零件的技術，負責產品中有關零組件的選擇使用、資材管理、市場推廣
                                                ",電機工程學系
SMT工程師,"
                                                    專職表面黏著技術SMT( Surface Mount Technology)的流程，從備料、上架、到設備設定、操作、維修等
                                                ",電機工程學系
PCB-Layout佈局工程師,"
                                                    從事印刷電路板線路佈局之設計發展、問題研究、技術指導等工作（PCB／Printed circuit board）
                                                ",電機工程學系
電子／通訊工程助理,"
                                                    具相關科系背景，協助工程師完成通訊與光電工程方面的工作
                                                ",電機工程學系
半導體工程師,"
                                                    研究半導體元件，從事設計、製作、測試、改良等工作
                                                ",電機工程學系
半導體製程工程師,"
                                                    負責半導體製造過程及機台設定、分析問題並處理異常，保持製程產品良率及穩定度之控制
                                                ",電機工程學系
半導體設備工程師,"
                                                    負責半導體設備調校操作維護，提升設備良率、維護穩定運作
                                                ",電機工程學系
IC設計工程師,"
                                                    依據電路之需求規格與應用，從事積體電路設計、修改、測試、改良、偵錯等工作
                                                ",電機工程學系
類比IC設計工程師,"
                                                    在半導體產業中，從事非連續性訊號之積體電路及電路邏輯系統設計、管理、改良的技術者
                                                ",電機工程學系
數位IC設計工程師,"
                                                    在半導體產業中，負責連續性訊號積體電路及電路邏輯系統的設計、管理、改良的技術者
                                                ",電機工程學系
IC佈局工程師,"
                                                    繪製IC設計的電路線圖，並測試電路圖的可行性
                                                ",電機工程學系
IC封裝／測試工程師,"
                                                    進行新產品導入封裝製程評估、設備操作，並對封裝廠製程良率控管及製程端異常及問題分析
                                                ",電機工程學系
光電工程師,"
                                                    進行光電系統和元件的研究、設計、製作、測試、改善
                                                ",電機工程學系
太陽能技術工程師,"
                                                    專職太陽能技術以及相關產品的研究、設計、開發、量產、推廣等
                                                ",電機工程學系
光學工程師,"
                                                    運用光學專業技術從事設計、研發、改良、調整及修理光學儀器設備、並協助量產的技術指導
                                                ",電機工程學系
光電製程工程師,"
                                                    安排光電生產設備佈置及流程、決定生產裝配方法、計算生產能量、平衡生產線以達最適製造方式
                                                ",電機工程學系
光電／半導體工程助理,"
                                                    協助半導體／電子工程師或主管，進行客訴問題分析或生產技術支援
                                                ",電機工程學系
EMC／安規工程人員,"
                                                    電磁相容EMC(Electro Magnetic Compatibility)相關產品開發、進行新產品的安全規範測試，以避免設計不良或使用不當，確保產品安全，其產品安規認證相關作業
                                                ",電機工程學系
品保工程師,"
                                                    使用精密儀器或管理技術設定、檢驗、改善產品品質以達品質保証
                                                ",電機工程學系
測試工程師,"
                                                    針對生產流程中，各階段的產品性能進行測試，找出設計上的錯誤或問題予以改正解決
                                                ",電機工程學系
公家機關相關人員,"
                                                    服務於公家機關內，處理公文傳遞、行政事務、或其他長官交辦事項
                                                ",電機工程學系
