學院,學系,工作類型,個數
人文社會學院,外國語文學系,行銷與銷售類,15
人文社會學院,外國語文學系,教育與訓練類,11
人文社會學院,外國語文學系,物流運輸類,6
人文社會學院,外國語文學系,企業經營管理類,6
人文社會學院,外國語文學系,政府公共事務類,5
人文社會學院,外國語文學系,製造類,5
人文社會學院,外國語文學系,藝文與影音傳播類,4
人文社會學院,外國語文學系,資訊科技類,4
人文社會學院,外國語文學系,司法、法律與公共安全類,4
人文社會學院,外國語文學系,金融財務類,3
人文社會學院,外國語文學系,科學、技術、工程、數學類,1
人文社會學院,外國語文學系,個人及社會服務類,1
人文社會學院,外國語文學系,休閒與觀光旅遊類,1
人文社會學院,外國語文學系,天然資源、食品與農業類,1
工學院,土木工程學系,建築營造類,20
工學院,土木工程學系,科學、技術、工程、數學類,11
工學院,土木工程學系,教育與訓練類,3
工學院,土木工程學系,資訊科技類,3
工學院,土木工程學系,政府公共事務類,3
工學院,土木工程學系,製造類,2
工學院,土木工程學系,行銷與銷售類,1
工學院,土木工程學系,物流運輸類,1
工學院,土木工程學系,金融財務類,1
工學院,材料科學與工程學系,科學、技術、工程、數學類,16
工學院,材料科學與工程學系,製造類,4
工學院,材料科學與工程學系,政府公共事務類,2
工學院,材料科學與工程學系,資訊科技類,1
工學院,材料科學與工程學系,行銷與銷售類,1
工學院,機械工程學系,科學、技術、工程、數學類,38
工學院,機械工程學系,製造類,10
工學院,機械工程學系,政府公共事務類,3
工學院,機械工程學系,天然資源、食品與農業類,1
工學院,機械工程學系,休閒與觀光旅遊類,1
工學院,機械工程學系,企業經營管理類,1
工學院,機械工程學系,行銷與銷售類,1
工學院,機械工程學系,教育與訓練類,1
工學院,機械工程學系,資訊科技類,1
生物科技學院,生物科技學系,科學、技術、工程、數學類,14
生物科技學院,生物科技學系,醫療保健類,9
生物科技學院,生物科技學系,教育與訓練類,2
生物科技學院,生物科技學系,行銷與銷售類,2
生物科技學院,生物科技學系,金融財務類,2
客家文化學院,人文社會學系,政府公共事務類,15
客家文化學院,人文社會學系,行銷與銷售類,11
客家文化學院,人文社會學系,企業經營管理類,9
客家文化學院,人文社會學系,資訊科技類,9
客家文化學院,人文社會學系,藝文與影音傳播類,9
客家文化學院,人文社會學系,製造類,8
客家文化學院,人文社會學系,休閒與觀光旅遊類,8
